2026-05-20 11:47:37 | INFO    | Backtest: 2024-01-01 → 2026-04-30 | symbols=['QQQ'] | size=$1000
2026-05-20 11:47:38 | DEBUG   | 2024-01-01: no market data, skipping
2026-05-20 11:47:38 | INFO    | --- 2024-01-02 (55 bars) ---
2026-05-20 11:47:38 | DEBUG   | QQQ | State 0→1 | break UP 1.47 SD
2026-05-20 11:47:38 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:38 | DEBUG   | QQQ | State 0→1 | break UP 1.03 SD
2026-05-20 11:47:38 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:38 | DEBUG   | QQQ | State 0→1 | break DN -1.03 SD
2026-05-20 11:47:38 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:38 | DEBUG   | QQQ | State 0→1 | break DN -1.31 SD
2026-05-20 11:47:38 | INFO    | 2024-01-02 done | running P&L: $0.00
2026-05-20 11:47:38 | INFO    | --- 2024-01-03 (55 bars) ---
2026-05-20 11:47:38 | DEBUG   | QQQ | State 0→1 | break DN -1.15 SD
2026-05-20 11:47:38 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0175 ratio=0.633
2026-05-20 11:47:38 | INFO    | Position opened | QQQ long | 2 shares @ 399.04 | $798
2026-05-20 11:47:38 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:38 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:39 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:39 | INFO    | QQQ | State 2→3 | stop hit at 398.56
2026-05-20 11:47:39 | INFO    | Position closed | QQQ long | exit=398.56 | P&L=$-0.96 | reason=SL
2026-05-20 11:47:39 | DEBUG   | QQQ | State 3 | cooldown 2 bars left
2026-05-20 11:47:39 | DEBUG   | QQQ | State 3 | cooldown 1 bars left
2026-05-20 11:47:39 | DEBUG   | QQQ | State 3→0 | cooldown done, price inside band
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break DN -1.57 SD
2026-05-20 11:47:39 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break DN -1.29 SD
2026-05-20 11:47:39 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break UP 1.85 SD
2026-05-20 11:47:39 | INFO    | 2024-01-03 done | running P&L: $-0.96
2026-05-20 11:47:39 | INFO    | --- 2024-01-04 (55 bars) ---
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break UP 1.01 SD
2026-05-20 11:47:39 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break DN -1.13 SD
2026-05-20 11:47:39 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break DN -1.05 SD
2026-05-20 11:47:39 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break DN -1.23 SD
2026-05-20 11:47:39 | INFO    | 2024-01-04 done | running P&L: $-0.96
2026-05-20 11:47:39 | INFO    | --- 2024-01-05 (55 bars) ---
2026-05-20 11:47:39 | DEBUG   | QQQ | State 0→1 | break DN -1.20 SD
2026-05-20 11:47:40 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:40 | DEBUG   | QQQ | State 0→1 | break DN -1.00 SD
2026-05-20 11:47:40 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:40 | INFO    | 2024-01-05 done | running P&L: $-0.96
2026-05-20 11:47:40 | INFO    | --- 2024-01-08 (55 bars) ---
2026-05-20 11:47:40 | DEBUG   | QQQ | State 0→1 | break UP 1.19 SD
2026-05-20 11:47:40 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:40 | DEBUG   | QQQ | State 0→1 | break UP 1.17 SD
2026-05-20 11:47:40 | INFO    | 2024-01-08 done | running P&L: $-0.96
2026-05-20 11:47:40 | INFO    | --- 2024-01-09 (55 bars) ---
2026-05-20 11:47:40 | DEBUG   | QQQ | State 0→1 | break UP 1.83 SD
2026-05-20 11:47:41 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:41 | DEBUG   | QQQ | State 0→1 | break UP 1.12 SD
2026-05-20 11:47:41 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:41 | INFO    | 2024-01-09 done | running P&L: $-0.96
2026-05-20 11:47:41 | INFO    | --- 2024-01-10 (55 bars) ---
2026-05-20 11:47:41 | DEBUG   | QQQ | State 0→1 | break UP 1.02 SD
2026-05-20 11:47:41 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:41 | DEBUG   | QQQ | State 0→1 | break UP 1.33 SD
2026-05-20 11:47:41 | INFO    | 2024-01-10 done | running P&L: $-0.96
2026-05-20 11:47:41 | INFO    | --- 2024-01-11 (55 bars) ---
2026-05-20 11:47:41 | DEBUG   | QQQ | State 0→1 | break DN -1.65 SD
2026-05-20 11:47:41 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:41 | DEBUG   | QQQ | State 0→1 | break DN -1.44 SD
2026-05-20 11:47:41 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:42 | DEBUG   | QQQ | State 0→1 | break DN -1.08 SD
2026-05-20 11:47:42 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0160 ratio=0.663
2026-05-20 11:47:42 | INFO    | Position opened | QQQ long | 2 shares @ 405.26 | $811
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:42 | INFO    | QQQ | State 2→0 | TP hit at 406.24
2026-05-20 11:47:42 | INFO    | Position closed | QQQ long | exit=406.26 | P&L=$2.00 | reason=TP
2026-05-20 11:47:42 | DEBUG   | QQQ | State 0→1 | break UP 1.17 SD
2026-05-20 11:47:42 | INFO    | 2024-01-11 done | running P&L: $1.04
2026-05-20 11:47:42 | INFO    | --- 2024-01-12 (55 bars) ---
2026-05-20 11:47:42 | DEBUG   | QQQ | State 0→1 | break UP 1.09 SD
2026-05-20 11:47:42 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:42 | DEBUG   | QQQ | State 0→1 | break DN -1.05 SD
2026-05-20 11:47:42 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0209 ratio=0.672
2026-05-20 11:47:42 | INFO    | Position opened | QQQ long | 2 shares @ 408.80 | $818
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=4
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=5
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=6
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=7
2026-05-20 11:47:42 | DEBUG   | QQQ | State 2 | bars_in_position=8
2026-05-20 11:47:42 | INFO    | QQQ | State 2→0 | TP hit at 409.30
2026-05-20 11:47:42 | INFO    | Position closed | QQQ long | exit=409.32 | P&L=$1.04 | reason=TP
2026-05-20 11:47:42 | DEBUG   | QQQ | State 0→1 | break UP 1.12 SD
2026-05-20 11:47:42 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:42 | INFO    | 2024-01-12 done | running P&L: $2.08
2026-05-20 11:47:42 | DEBUG   | 2024-01-15: no market data, skipping
2026-05-20 11:47:43 | INFO    | --- 2024-01-16 (55 bars) ---
2026-05-20 11:47:43 | DEBUG   | QQQ | State 0→1 | break UP 1.22 SD
2026-05-20 11:47:43 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:43 | DEBUG   | QQQ | State 0→1 | break DN -1.45 SD
2026-05-20 11:47:43 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0380 ratio=0.889
2026-05-20 11:47:43 | INFO    | Position opened | QQQ long | 2 shares @ 408.81 | $818
2026-05-20 11:47:43 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:43 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:43 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:43 | DEBUG   | QQQ | State 2 | bars_in_position=4
2026-05-20 11:47:43 | DEBUG   | QQQ | State 2 | bars_in_position=5
2026-05-20 11:47:43 | DEBUG   | QQQ | State 2 | bars_in_position=6
2026-05-20 11:47:43 | INFO    | QQQ | State 2→0 | stall exit | progress=-105.3%
2026-05-20 11:47:43 | INFO    | Position closed | QQQ long | exit=408.26 | P&L=$-1.10 | reason=TP
2026-05-20 11:47:43 | DEBUG   | QQQ | State 0→1 | break DN -1.60 SD
2026-05-20 11:47:43 | INFO    | 2024-01-16 done | running P&L: $0.98
2026-05-20 11:47:43 | INFO    | --- 2024-01-17 (55 bars) ---
2026-05-20 11:47:43 | DEBUG   | QQQ | State 0→1 | break UP 1.82 SD
2026-05-20 11:47:43 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:43 | DEBUG   | QQQ | State 0→1 | break UP 1.08 SD
2026-05-20 11:47:44 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break UP 1.28 SD
2026-05-20 11:47:44 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break DN -1.21 SD
2026-05-20 11:47:44 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:44 | INFO    | 2024-01-17 done | running P&L: $0.98
2026-05-20 11:47:44 | INFO    | --- 2024-01-18 (55 bars) ---
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break UP 1.69 SD
2026-05-20 11:47:44 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break UP 1.11 SD
2026-05-20 11:47:44 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break DN -1.04 SD
2026-05-20 11:47:44 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0377 ratio=0.842
2026-05-20 11:47:44 | INFO    | Position opened | QQQ long | 2 shares @ 411.16 | $822
2026-05-20 11:47:44 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:44 | INFO    | QQQ | State 2→3 | stop hit at 410.49
2026-05-20 11:47:44 | INFO    | Position closed | QQQ long | exit=410.50 | P&L=$-1.32 | reason=SL
2026-05-20 11:47:44 | DEBUG   | QQQ | State 3 | cooldown 2 bars left
2026-05-20 11:47:44 | DEBUG   | QQQ | State 3 | cooldown 1 bars left
2026-05-20 11:47:44 | DEBUG   | QQQ | State 3→0 | cooldown done, price inside band
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break DN -1.32 SD
2026-05-20 11:47:44 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:44 | DEBUG   | QQQ | State 0→1 | break UP 1.39 SD
2026-05-20 11:47:44 | INFO    | 2024-01-18 done | running P&L: $-0.34
2026-05-20 11:47:44 | INFO    | --- 2024-01-19 (55 bars) ---
2026-05-20 11:47:45 | DEBUG   | QQQ | State 0→1 | break UP 1.26 SD
2026-05-20 11:47:45 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:45 | DEBUG   | QQQ | State 0→1 | break UP 1.56 SD
2026-05-20 11:47:45 | INFO    | 2024-01-19 done | running P&L: $-0.34
2026-05-20 11:47:45 | INFO    | --- 2024-01-22 (55 bars) ---
2026-05-20 11:47:45 | DEBUG   | QQQ | State 0→1 | break UP 1.07 SD
2026-05-20 11:47:45 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:45 | DEBUG   | QQQ | State 0→1 | break DN -1.07 SD
2026-05-20 11:47:45 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0108 ratio=0.864
2026-05-20 11:47:45 | INFO    | Position opened | QQQ long | 2 shares @ 422.01 | $844
2026-05-20 11:47:45 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:45 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:45 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:45 | INFO    | QQQ | State 2→3 | stop hit at 421.23
2026-05-20 11:47:45 | INFO    | Position closed | QQQ long | exit=421.24 | P&L=$-1.54 | reason=SL
2026-05-20 11:47:45 | DEBUG   | QQQ | State 3 | cooldown 2 bars left
2026-05-20 11:47:45 | DEBUG   | QQQ | State 3 | cooldown 1 bars left
2026-05-20 11:47:45 | DEBUG   | QQQ | State 3→0 | cooldown done, price inside band
2026-05-20 11:47:45 | DEBUG   | QQQ | State 0→1 | break DN -1.36 SD
2026-05-20 11:47:45 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0105 ratio=0.894
2026-05-20 11:47:45 | INFO    | Position opened | QQQ long | 2 shares @ 421.82 | $844
2026-05-20 11:47:45 | INFO    | Position closed | QQQ long | exit=421.61 | P&L=$-0.42 | reason=EOD
2026-05-20 11:47:45 | INFO    | 2024-01-22 done | running P&L: $-2.30
2026-05-20 11:47:45 | INFO    | --- 2024-01-23 (55 bars) ---
2026-05-20 11:47:45 | DEBUG   | QQQ | State 0→1 | break DN -2.52 SD
