2026-05-19 23:13:51 | INFO    | Backtest: 2026-01-01 → 2026-04-30 | symbols=['SPY', 'QQQ', 'AAPL'] | size=$1000
2026-05-19 23:13:52 | DEBUG   | 2026-01-01: no market data, skipping
2026-05-19 23:13:52 | INFO    | --- 2026-01-02 (60 bars) ---
2026-05-19 23:13:52 | DEBUG   | SPY | State 0→1 | break DN -1.89 SD
2026-05-19 23:13:52 | DEBUG   | QQQ | State 0→1 | break DN -2.43 SD
2026-05-19 23:13:52 | DEBUG   | AAPL | State 0→1 | break UP 2.15 SD
2026-05-19 23:13:52 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:13:52 | DEBUG   | SPY | State 0→1 | break UP 1.97 SD
2026-05-19 23:13:52 | DEBUG   | QQQ | State 0→1 | break UP 2.22 SD
2026-05-19 23:13:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:52 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | SPY | State 0→1 | break DN -1.71 SD
2026-05-19 23:13:53 | DEBUG   | QQQ | State 0→1 | break DN -2.51 SD
2026-05-19 23:13:53 | DEBUG   | AAPL | State 0→1 | break DN -1.13 SD
2026-05-19 23:13:53 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | QQQ | State 0→1 | break DN -1.11 SD
2026-05-19 23:13:53 | DEBUG   | SPY | State 0→1 | break DN -1.10 SD
2026-05-19 23:13:53 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | SPY | State 0→1 | break DN -1.14 SD
2026-05-19 23:13:53 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:53 | DEBUG   | SPY | State 0→1 | break DN -1.06 SD
2026-05-19 23:13:53 | DEBUG   | QQQ | State 0→1 | break DN -1.14 SD
2026-05-19 23:13:54 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:13:54 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:13:54 | DEBUG   | QQQ | State 0→1 | break DN -1.02 SD
2026-05-19 23:13:54 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0332 ratio=0.620
2026-05-19 23:13:54 | INFO    | Position opened | QQQ long | 1 shares @ 612.69 | $613
2026-05-19 23:13:54 | INFO    | Position closed | QQQ long | exit=611.56 | P&L=$-1.13 | reason=EOD
2026-05-19 23:13:54 | INFO    | 2026-01-02 done | running P&L: $-1.13
2026-05-19 23:13:55 | INFO    | --- 2026-01-05 (60 bars) ---
2026-05-19 23:13:55 | DEBUG   | AAPL | State 0→1 | break DN -2.74 SD
2026-05-19 23:13:55 | DEBUG   | QQQ | State 0→1 | break DN -1.06 SD
2026-05-19 23:13:55 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:55 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:55 | DEBUG   | AAPL | State 0→1 | break UP 1.24 SD
2026-05-19 23:13:55 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:55 | DEBUG   | SPY | State 0→1 | break UP 1.46 SD
2026-05-19 23:13:55 | DEBUG   | QQQ | State 0→1 | break UP 1.83 SD
2026-05-19 23:13:55 | DEBUG   | AAPL | State 0→1 | break UP 1.59 SD
2026-05-19 23:13:55 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:55 | INFO    | QQQ | State 1→2 | enter_short | slope=0.0446 ratio=0.727
2026-05-19 23:13:55 | INFO    | Position opened | QQQ short | 1 shares @ 619.20 | $619
2026-05-19 23:13:56 | INFO    | QQQ | State 2→0 | TP hit at 619.00
2026-05-19 23:13:56 | INFO    | Position closed | QQQ short | exit=618.99 | P&L=$0.21 | reason=TP
2026-05-19 23:13:56 | INFO    | SPY | State 1→2 | enter_short | slope=0.0226 ratio=0.743
2026-05-19 23:13:56 | DEBUG   | AAPL | State 0→1 | break DN -2.53 SD
2026-05-19 23:13:56 | INFO    | Position opened | SPY short | 1 shares @ 688.36 | $688
2026-05-19 23:13:57 | INFO    | Position closed | SPY short | exit=688.58 | P&L=$-0.22 | reason=EOD
2026-05-19 23:13:57 | INFO    | 2026-01-05 done | running P&L: $-1.14
2026-05-19 23:13:57 | INFO    | --- 2026-01-06 (60 bars) ---
2026-05-19 23:13:57 | DEBUG   | AAPL | State 0→1 | break DN -2.42 SD
2026-05-19 23:13:57 | DEBUG   | SPY | State 0→1 | break UP 1.46 SD
2026-05-19 23:13:57 | DEBUG   | QQQ | State 0→1 | break UP 1.86 SD
2026-05-19 23:13:57 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:13:58 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:13:58 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:13:58 | DEBUG   | SPY | State 0→1 | break DN -1.01 SD
2026-05-19 23:13:58 | DEBUG   | AAPL | State 0→1 | break DN -2.02 SD
2026-05-19 23:13:58 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:13:59 | INFO    | AAPL | State 1→2 | enter_long | slope=-0.0378 ratio=0.761
2026-05-19 23:13:59 | INFO    | Position opened | AAPL long | 3 shares @ 262.95 | $789
2026-05-19 23:13:59 | INFO    | Position closed | AAPL long | exit=262.86 | P&L=$-0.27 | reason=EOD
2026-05-19 23:13:59 | INFO    | 2026-01-06 done | running P&L: $-1.41
2026-05-19 23:14:00 | INFO    | --- 2026-01-07 (60 bars) ---
2026-05-19 23:14:00 | DEBUG   | QQQ | State 0→1 | break UP 1.78 SD
2026-05-19 23:14:00 | DEBUG   | AAPL | State 0→1 | break DN -1.04 SD
2026-05-19 23:14:00 | DEBUG   | SPY | State 0→1 | break UP 1.97 SD
2026-05-19 23:14:00 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | AAPL | State 0→1 | break DN -1.11 SD
2026-05-19 23:14:00 | DEBUG   | SPY | State 0→1 | break DN -1.30 SD
2026-05-19 23:14:00 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | QQQ | State 0→1 | break UP 1.20 SD
2026-05-19 23:14:00 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | AAPL | State 0→1 | break DN -1.34 SD
2026-05-19 23:14:00 | DEBUG   | QQQ | State 0→1 | break UP 2.17 SD
2026-05-19 23:14:00 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:00 | DEBUG   | SPY | State 0→1 | break UP 1.12 SD
2026-05-19 23:14:01 | DEBUG   | AAPL | State 0→1 | break DN -1.08 SD
2026-05-19 23:14:01 | INFO    | SPY | State 1→2 | enter_short | slope=0.0251 ratio=0.598
2026-05-19 23:14:01 | INFO    | Position opened | SPY short | 1 shares @ 692.39 | $692
2026-05-19 23:14:01 | INFO    | SPY | State 2→3 | stop hit at 693.20
2026-05-19 23:14:01 | INFO    | Position closed | SPY short | exit=693.21 | P&L=$-0.82 | reason=SL
2026-05-19 23:14:01 | DEBUG   | SPY | State 3 | cooldown 2 bars left
2026-05-19 23:14:01 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:01 | DEBUG   | SPY | State 3 | cooldown 1 bars left
2026-05-19 23:14:01 | DEBUG   | AAPL | State 0→1 | break UP 1.16 SD
2026-05-19 23:14:01 | INFO    | AAPL | State 1→2 | enter_short | slope=0.0131 ratio=0.670
2026-05-19 23:14:01 | INFO    | Position opened | AAPL short | 3 shares @ 262.34 | $787
2026-05-19 23:14:02 | INFO    | Position closed | AAPL short | exit=262.31 | P&L=$0.07 | reason=EOD
2026-05-19 23:14:02 | INFO    | 2026-01-07 done | running P&L: $-2.15
2026-05-19 23:14:02 | INFO    | --- 2026-01-08 (60 bars) ---
2026-05-19 23:14:02 | DEBUG   | SPY | State 0→1 | break DN -1.93 SD
2026-05-19 23:14:02 | DEBUG   | QQQ | State 0→1 | break DN -1.69 SD
2026-05-19 23:14:02 | DEBUG   | AAPL | State 0→1 | break DN -2.47 SD
2026-05-19 23:14:02 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:02 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:02 | DEBUG   | SPY | State 0→1 | break UP 1.07 SD
2026-05-19 23:14:02 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:02 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:02 | DEBUG   | QQQ | State 0→1 | break DN -1.52 SD
2026-05-19 23:14:02 | DEBUG   | AAPL | State 0→1 | break DN -1.49 SD
2026-05-19 23:14:02 | DEBUG   | SPY | State 0→1 | break UP 3.25 SD
2026-05-19 23:14:02 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:02 | INFO    | AAPL | State 1→2 | enter_long | slope=-0.0454 ratio=0.756
2026-05-19 23:14:02 | INFO    | Position opened | AAPL long | 3 shares @ 256.72 | $770
2026-05-19 23:14:02 | INFO    | AAPL | State 2→0 | TP hit at 256.93
2026-05-19 23:14:02 | INFO    | Position closed | AAPL long | exit=256.93 | P&L=$0.63 | reason=TP
2026-05-19 23:14:03 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:03 | DEBUG   | AAPL | State 0→1 | break DN -1.03 SD
2026-05-19 23:14:03 | DEBUG   | QQQ | State 0→1 | break DN -1.22 SD
2026-05-19 23:14:03 | DEBUG   | SPY | State 0→1 | break UP 1.66 SD
2026-05-19 23:14:03 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:03 | INFO    | AAPL | State 1→2 | enter_long | slope=-0.0057 ratio=0.757
2026-05-19 23:14:03 | INFO    | Position opened | AAPL long | 3 shares @ 256.69 | $770
2026-05-19 23:14:03 | INFO    | AAPL | State 2→0 | TP hit at 256.88
2026-05-19 23:14:03 | INFO    | Position closed | AAPL long | exit=256.88 | P&L=$0.58 | reason=TP
2026-05-19 23:14:03 | DEBUG   | AAPL | State 0→1 | break UP 2.96 SD
2026-05-19 23:14:03 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:03 | DEBUG   | SPY | State 0→1 | break UP 1.63 SD
2026-05-19 23:14:03 | INFO    | SPY | State 1→2 | enter_short | slope=0.0156 ratio=0.784
2026-05-19 23:14:03 | INFO    | Position opened | SPY short | 1 shares @ 689.48 | $689
2026-05-19 23:14:04 | INFO    | SPY | State 2→3 | stop hit at 690.47
2026-05-19 23:14:04 | INFO    | Position closed | SPY short | exit=690.48 | P&L=$-1.00 | reason=SL
2026-05-19 23:14:04 | INFO    | 2026-01-08 done | running P&L: $-1.94
2026-05-19 23:14:04 | INFO    | --- 2026-01-09 (60 bars) ---
2026-05-19 23:14:04 | DEBUG   | AAPL | State 0→1 | break DN -3.37 SD
2026-05-19 23:14:04 | DEBUG   | SPY | State 0→1 | break UP 1.42 SD
2026-05-19 23:14:04 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:04 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:04 | DEBUG   | AAPL | State 0→1 | break DN -2.50 SD
2026-05-19 23:14:05 | DEBUG   | SPY | State 0→1 | break DN -1.90 SD
2026-05-19 23:14:05 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:05 | DEBUG   | QQQ | State 0→1 | break DN -2.11 SD
2026-05-19 23:14:05 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:05 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:05 | DEBUG   | QQQ | State 0→1 | break UP 1.46 SD
2026-05-19 23:14:05 | DEBUG   | SPY | State 0→1 | break UP 2.23 SD
2026-05-19 23:14:05 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:05 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:05 | DEBUG   | QQQ | State 0→1 | break UP 1.11 SD
2026-05-19 23:14:05 | DEBUG   | SPY | State 0→1 | break UP 1.23 SD
2026-05-19 23:14:05 | DEBUG   | AAPL | State 0→1 | break DN -1.49 SD
2026-05-19 23:14:05 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:14:05 | DEBUG   | SPY | State 0→1 | break UP 1.18 SD
2026-05-19 23:14:05 | INFO    | AAPL | State 1→2 | enter_long | slope=-0.0469 ratio=0.775
2026-05-19 23:14:05 | INFO    | Position opened | AAPL long | 3 shares @ 257.29 | $772
2026-05-19 23:14:06 | INFO    | AAPL | State 2→0 | TP hit at 258.39
2026-05-19 23:14:06 | INFO    | Position closed | AAPL long | exit=258.41 | P&L=$3.36 | reason=TP
2026-05-19 23:14:06 | DEBUG   | AAPL | State 0→1 | break UP 1.04 SD
2026-05-19 23:14:06 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:06 | DEBUG   | AAPL | State 0→1 | break UP 1.36 SD
2026-05-19 23:14:06 | INFO    | AAPL | State 1→2 | enter_short | slope=0.0246 ratio=0.734
2026-05-19 23:14:06 | INFO    | Position opened | AAPL short | 3 shares @ 258.67 | $776
2026-05-19 23:14:06 | INFO    | Position closed | AAPL short | exit=258.76 | P&L=$-0.27 | reason=EOD
2026-05-19 23:14:06 | INFO    | 2026-01-09 done | running P&L: $1.15
2026-05-19 23:14:06 | INFO    | --- 2026-01-12 (60 bars) ---
2026-05-19 23:14:06 | DEBUG   | SPY | State 0→1 | break UP 1.08 SD
2026-05-19 23:14:06 | DEBUG   | QQQ | State 0→1 | break UP 1.62 SD
2026-05-19 23:14:06 | DEBUG   | AAPL | State 0→1 | break DN -10.43 SD
2026-05-19 23:14:07 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | QQQ | State 0→1 | break UP 1.09 SD
2026-05-19 23:14:07 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | AAPL | State 0→1 | break UP 1.85 SD
2026-05-19 23:14:07 | DEBUG   | QQQ | State 0→1 | break UP 1.07 SD
2026-05-19 23:14:07 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:14:07 | DEBUG   | QQQ | State 0→1 | break UP 1.18 SD
2026-05-19 23:14:07 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:14:07 | DEBUG   | AAPL | State 0→1 | break UP 1.90 SD
2026-05-19 23:14:07 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | AAPL | State 0→1 | break UP 1.08 SD
2026-05-19 23:14:07 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:07 | DEBUG   | SPY | State 0→1 | break UP 1.13 SD
2026-05-19 23:14:07 | DEBUG   | QQQ | State 0→1 | break UP 1.14 SD
2026-05-19 23:14:07 | DEBUG   | AAPL | State 0→1 | break UP 1.05 SD
2026-05-19 23:14:08 | INFO    | AAPL | State 1→2 | enter_short | slope=0.0331 ratio=0.682
2026-05-19 23:14:08 | INFO    | Position opened | AAPL short | 3 shares @ 259.94 | $780
2026-05-19 23:14:08 | INFO    | Position closed | AAPL short | exit=260.68 | P&L=$-2.21 | reason=EOD
2026-05-19 23:14:08 | INFO    | 2026-01-12 done | running P&L: $-1.05
2026-05-19 23:14:09 | INFO    | --- 2026-01-13 (60 bars) ---
2026-05-19 23:14:09 | DEBUG   | AAPL | State 0→1 | break UP 3.75 SD
2026-05-19 23:14:09 | DEBUG   | QQQ | State 0→1 | break UP 1.45 SD
2026-05-19 23:14:09 | DEBUG   | SPY | State 0→1 | break DN -1.72 SD
2026-05-19 23:14:09 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:09 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:09 | DEBUG   | QQQ | State 0→1 | break DN -1.17 SD
2026-05-19 23:14:10 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:10 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:10 | DEBUG   | AAPL | State 0→1 | break UP 1.04 SD
2026-05-19 23:14:10 | DEBUG   | QQQ | State 0→1 | break UP 1.20 SD
2026-05-19 23:14:10 | INFO    | QQQ | State 1→2 | enter_short | slope=0.0487 ratio=0.574
2026-05-19 23:14:10 | INFO    | Position opened | QQQ short | 1 shares @ 628.26 | $628
2026-05-19 23:14:11 | INFO    | QQQ | State 2→0 | TP hit at 626.65
2026-05-19 23:14:11 | INFO    | Position closed | QQQ short | exit=626.67 | P&L=$1.59 | reason=TP
2026-05-19 23:14:11 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:11 | INFO    | 2026-01-13 done | running P&L: $0.54
2026-05-19 23:14:11 | INFO    | --- 2026-01-14 (60 bars) ---
2026-05-19 23:14:11 | DEBUG   | SPY | State 0→1 | break UP 3.58 SD
2026-05-19 23:14:11 | DEBUG   | QQQ | State 0→1 | break UP 2.41 SD
2026-05-19 23:14:11 | DEBUG   | AAPL | State 0→1 | break UP 2.58 SD
2026-05-19 23:14:11 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | SPY | State 0→1 | break DN -2.58 SD
2026-05-19 23:14:11 | DEBUG   | QQQ | State 0→1 | break DN -2.24 SD
2026-05-19 23:14:11 | DEBUG   | AAPL | State 0→1 | break DN -2.14 SD
2026-05-19 23:14:11 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | SPY | State 0→1 | break DN -1.32 SD
2026-05-19 23:14:11 | DEBUG   | QQQ | State 0→1 | break DN -1.32 SD
2026-05-19 23:14:11 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:14:11 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:11 | DEBUG   | SPY | State 0→1 | break DN -1.19 SD
2026-05-19 23:14:12 | DEBUG   | AAPL | State 0→1 | break DN -1.09 SD
2026-05-19 23:14:12 | INFO    | AAPL | State 1→2 | enter_long | slope=-0.0089 ratio=0.704
2026-05-19 23:14:12 | INFO    | Position opened | AAPL long | 3 shares @ 259.82 | $779
2026-05-19 23:14:12 | INFO    | AAPL | State 2→3 | stop hit at 258.18
2026-05-19 23:14:12 | INFO    | Position closed | AAPL long | exit=258.18 | P&L=$-4.92 | reason=SL
2026-05-19 23:14:12 | DEBUG   | QQQ | State 0→1 | break DN -1.84 SD
2026-05-19 23:14:12 | DEBUG   | AAPL | State 3 | cooldown 2 bars left
2026-05-19 23:14:12 | DEBUG   | AAPL | State 3 | cooldown 1 bars left
2026-05-19 23:14:12 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:12 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:14:12 | DEBUG   | AAPL | State 3→0 | cooldown done, price inside band
2026-05-19 23:14:12 | DEBUG   | AAPL | State 0→1 | break DN -1.12 SD
2026-05-19 23:14:12 | DEBUG   | SPY | State 0→1 | break DN -1.17 SD
2026-05-19 23:14:12 | DEBUG   | QQQ | State 0→1 | break DN -1.11 SD
2026-05-19 23:14:12 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:12 | DEBUG   | QQQ | State 0→1 | break DN -1.04 SD
2026-05-19 23:14:12 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:13 | DEBUG   | QQQ | State 0→1 | break DN -1.44 SD
2026-05-19 23:14:13 | INFO    | SPY | State 1→2 | enter_long | slope=-0.0332 ratio=0.763
2026-05-19 23:14:13 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0288 ratio=0.754
2026-05-19 23:14:13 | INFO    | Position opened | QQQ long | 1 shares @ 616.20 | $616
2026-05-19 23:14:13 | INFO    | Position closed | QQQ long | exit=615.25 | P&L=$-0.95 | reason=EOD
2026-05-19 23:14:13 | INFO    | 2026-01-14 done | running P&L: $-5.33
2026-05-19 23:14:13 | INFO    | --- 2026-01-15 (60 bars) ---
2026-05-19 23:14:13 | DEBUG   | QQQ | State 0→1 | break UP 1.07 SD
2026-05-19 23:14:13 | DEBUG   | AAPL | State 0→1 | break UP 1.40 SD
2026-05-19 23:14:13 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-19 23:14:13 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-19 23:14:13 | DEBUG   | AAPL | State 0→1 | break DN -2.82 SD
2026-05-19 23:14:13 | DEBUG   | SPY | State 0→1 | break DN -1.29 SD
2026-05-19 23:14:13 | DEBUG   | QQQ | State 0→1 | break DN -1.10 SD
2026-05-19 23:14:13 | INFO    | QQQ | State 1→2 | enter_long | slope=0.0072 ratio=0.621
2026-05-19 23:14:13 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:13 | INFO    | Position opened | QQQ long | 1 shares @ 625.34 | $625
2026-05-19 23:14:14 | INFO    | QQQ | State 2→0 | TP hit at 625.96
2026-05-19 23:14:14 | INFO    | Position closed | QQQ long | exit=625.98 | P&L=$0.64 | reason=TP
2026-05-19 23:14:14 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:14 | DEBUG   | QQQ | State 0→1 | break DN -1.01 SD
2026-05-19 23:14:14 | DEBUG   | AAPL | State 0→1 | break DN -1.58 SD
2026-05-19 23:14:14 | DEBUG   | SPY | State 0→1 | break UP 1.87 SD
2026-05-19 23:14:14 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0055 ratio=0.735
2026-05-19 23:14:14 | DEBUG   | AAPL | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:14 | INFO    | Position opened | QQQ long | 1 shares @ 626.16 | $626
2026-05-19 23:14:14 | INFO    | QQQ | State 2→0 | TP hit at 626.17
2026-05-19 23:14:14 | INFO    | Position closed | QQQ long | exit=626.18 | P&L=$0.02 | reason=TP
2026-05-19 23:14:14 | DEBUG   | SPY | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-19 23:14:14 | DEBUG   | QQQ | State 0→1 | break DN -1.47 SD
2026-05-19 23:14:14 | DEBUG   | AAPL | State 0→1 | break DN -2.47 SD
