entry_time,exit_time,symbol,direction,entry_price,exit_price,shares,pnl,exit_reason
2024-01-03 12:05 EST,2024-01-03 12:20 EST,QQQ,long,399.0400,398.5600,2,-0.96,SL
2024-01-11 12:35 EST,2024-01-11 12:50 EST,QQQ,long,405.2600,406.2600,2,2.00,TP
2024-01-12 12:15 EST,2024-01-12 12:55 EST,QQQ,long,408.8000,409.3200,2,1.04,TP
2024-01-16 13:20 EST,2024-01-16 13:50 EST,QQQ,long,408.8100,408.2600,2,-1.10,TP
2024-01-18 12:30 EST,2024-01-18 12:35 EST,QQQ,long,411.1600,410.5000,2,-1.32,SL
2024-01-22 13:15 EST,2024-01-22 13:30 EST,QQQ,long,422.0100,421.2401,2,-1.54,SL
2024-01-22 14:30 EST,2024-01-22 14:30 EST,QQQ,long,421.8200,421.6100,2,-0.42,EOD
2024-01-23 11:45 EST,2024-01-23 11:55 EST,QQQ,long,421.5500,421.9050,2,0.71,TP
2024-01-30 13:30 EST,2024-01-30 13:55 EST,QQQ,long,425.5600,424.8400,2,-1.44,SL
2024-02-06 13:05 EST,2024-02-06 13:40 EST,QQQ,long,426.3700,426.8100,2,0.88,TP
2024-02-13 13:15 EST,2024-02-13 13:45 EST,QQQ,long,428.8100,428.4200,2,-0.78,TP
2024-02-21 12:55 EST,2024-02-21 13:25 EST,QQQ,long,424.0200,423.9700,2,-0.10,TP
2024-02-21 13:40 EST,2024-02-21 14:20 EST,QQQ,long,423.7487,423.3800,2,-0.74,SL
2024-02-26 14:00 EST,2024-02-26 14:05 EST,QQQ,long,437.5200,437.8200,2,0.60,TP
2024-02-27 11:55 EST,2024-02-27 12:00 EST,QQQ,long,437.1600,437.2500,2,0.18,TP
2024-02-27 14:00 EST,2024-02-27 14:15 EST,QQQ,long,436.5100,436.8900,2,0.76,TP
2024-03-05 12:00 EST,2024-03-05 12:25 EST,QQQ,long,436.2080,436.7400,2,1.06,TP
2024-03-05 13:30 EST,2024-03-05 13:45 EST,QQQ,long,435.8300,434.8750,2,-1.91,SL
2024-03-14 12:25 EDT,2024-03-14 12:40 EDT,QQQ,long,439.2900,439.4300,2,0.28,TP
2024-03-14 13:45 EDT,2024-03-14 13:55 EDT,QQQ,long,438.5700,439.2100,2,1.28,TP
2024-03-15 13:25 EDT,2024-03-15 13:55 EDT,QQQ,long,434.2200,434.2299,2,0.02,TP
2024-03-18 12:45 EDT,2024-03-18 12:50 EDT,QQQ,long,439.1000,438.7200,2,-0.76,SL
2024-03-18 14:05 EDT,2024-03-18 14:30 EDT,QQQ,long,438.5800,439.3900,2,1.62,TP
2024-03-26 13:30 EDT,2024-03-26 14:00 EDT,QQQ,long,445.8000,445.5200,2,-0.56,TP
2024-03-27 11:40 EDT,2024-03-27 11:45 EDT,QQQ,long,442.7500,442.9600,2,0.42,TP
2024-03-27 12:05 EDT,2024-03-27 12:20 EDT,QQQ,long,442.7100,442.9300,2,0.44,TP
2024-03-28 11:50 EDT,2024-03-28 11:55 EDT,QQQ,long,444.8700,444.9600,2,0.18,TP
2024-03-28 13:50 EDT,2024-03-28 13:55 EDT,QQQ,long,444.3199,444.0450,2,-0.55,SL
2024-03-28 14:30 EDT,2024-03-28 14:30 EDT,QQQ,long,444.2400,444.1700,2,-0.14,EOD
2024-04-08 13:55 EDT,2024-04-08 14:10 EDT,QQQ,long,440.5350,441.1000,2,1.13,TP
2024-04-10 12:05 EDT,2024-04-10 12:15 EDT,QQQ,long,437.5600,436.7800,2,-1.56,SL
2024-04-12 14:30 EDT,2024-04-12 14:30 EDT,QQQ,long,438.0500,437.7800,2,-0.54,EOD
2024-04-30 13:50 EDT,2024-04-30 14:20 EDT,QQQ,long,428.3450,428.1800,2,-0.33,TP
2024-05-01 12:15 EDT,2024-05-01 12:30 EDT,QQQ,long,422.0300,422.2002,2,0.34,TP
2024-05-01 12:50 EDT,2024-05-01 13:15 EDT,QQQ,long,421.5700,421.1900,2,-0.76,SL
2024-05-10 11:50 EDT,2024-05-10 12:25 EDT,QQQ,long,441.3250,441.7700,2,0.89,TP
2024-05-13 11:55 EDT,2024-05-13 12:00 EDT,QQQ,long,443.1100,443.0600,2,-0.10,TP
2024-05-13 13:55 EDT,2024-05-13 14:30 EDT,QQQ,long,442.7300,442.8300,2,0.20,EOD
2024-05-20 12:00 EDT,2024-05-20 12:05 EDT,QQQ,long,454.3300,454.6200,2,0.58,TP
2024-06-04 11:45 EDT,2024-06-04 12:10 EDT,QQQ,long,451.7800,451.4000,2,-0.76,SL
2024-06-06 11:40 EDT,2024-06-06 12:35 EDT,QQQ,long,463.2899,462.8850,2,-0.81,SL
2024-06-12 12:30 EDT,2024-06-12 13:05 EDT,QQQ,long,474.3500,474.8700,2,1.04,TP
2024-06-13 12:15 EDT,2024-06-13 12:20 EDT,QQQ,long,475.9750,475.4100,2,-1.13,SL
2024-06-21 13:55 EDT,2024-06-21 14:25 EDT,QQQ,long,480.4850,480.4400,2,-0.09,TP
2024-06-26 11:40 EDT,2024-06-26 11:50 EDT,QQQ,long,479.4300,479.9300,2,1.00,TP
2024-06-28 13:40 EDT,2024-06-28 14:10 EDT,QQQ,long,481.8900,482.0200,2,0.26,TP
2024-07-09 11:50 EDT,2024-07-09 12:20 EDT,QQQ,long,498.3301,498.6001,2,0.54,TP
2024-07-09 14:20 EDT,2024-07-09 14:30 EDT,QQQ,long,497.4000,497.2928,2,-0.21,EOD
2024-07-16 13:45 EDT,2024-07-16 14:15 EDT,QQQ,long,494.1600,494.2700,2,0.22,TP
2024-07-17 13:50 EDT,2024-07-17 14:05 EDT,QQQ,long,483.1421,482.5000,2,-1.28,SL
2024-07-22 12:10 EDT,2024-07-22 12:45 EDT,QQQ,long,479.4300,480.4900,2,2.12,TP
2024-07-23 13:25 EDT,2024-07-23 14:10 EDT,QQQ,long,481.4500,482.3300,2,1.76,TP
2024-08-09 12:30 EDT,2024-08-09 12:40 EDT,QQQ,long,447.4300,448.1500,2,1.44,TP
2024-08-12 14:05 EDT,2024-08-12 14:30 EDT,QQQ,long,451.1000,450.9800,2,-0.24,EOD
2024-08-20 13:30 EDT,2024-08-20 14:05 EDT,QQQ,long,479.6500,480.3800,2,1.46,TP
2024-08-21 11:40 EDT,2024-08-21 12:05 EDT,QQQ,long,481.3550,479.5550,2,-3.60,SL
2024-08-23 13:10 EDT,2024-08-23 13:45 EDT,QQQ,long,477.5000,479.4400,2,3.88,TP
2024-09-03 12:05 EDT,2024-09-03 12:35 EDT,QQQ,long,465.8200,465.4200,2,-0.80,TP
2024-09-03 13:25 EDT,2024-09-03 13:55 EDT,QQQ,long,465.8200,464.6202,2,-2.40,TP
2024-09-06 12:35 EDT,2024-09-06 13:05 EDT,QQQ,long,449.4300,449.1500,2,-0.56,TP
2024-09-06 13:55 EDT,2024-09-06 14:25 EDT,QQQ,long,449.2500,448.4400,2,-1.62,TP
2024-09-12 11:55 EDT,2024-09-12 12:15 EDT,QQQ,long,469.0600,469.7200,2,1.32,TP
2024-09-17 12:00 EDT,2024-09-17 12:10 EDT,QQQ,long,475.7700,475.2800,2,-0.98,SL
2024-09-23 12:35 EDT,2024-09-23 12:40 EDT,QQQ,long,482.9050,482.3500,2,-1.11,SL
2024-09-23 13:50 EDT,2024-09-23 14:10 EDT,QQQ,long,482.5600,483.0300,2,0.94,TP
2024-09-25 12:25 EDT,2024-09-25 12:50 EDT,QQQ,long,486.3192,485.6100,2,-1.42,SL
2024-09-26 11:40 EDT,2024-09-26 11:55 EDT,QQQ,long,487.3800,488.4700,2,2.18,TP
2024-09-27 13:25 EDT,2024-09-27 13:40 EDT,QQQ,long,487.4200,486.7198,2,-1.40,SL
2024-09-30 13:45 EDT,2024-09-30 14:00 EDT,QQQ,long,485.7500,486.4300,2,1.36,TP
2024-10-07 12:40 EDT,2024-10-07 12:55 EDT,QQQ,long,485.4200,485.2250,2,-0.39,SL
2024-10-18 11:55 EDT,2024-10-18 12:05 EDT,QQQ,long,494.4900,493.9800,2,-1.02,SL
2024-10-23 12:00 EDT,2024-10-23 12:05 EDT,QQQ,long,491.7200,490.3700,2,-2.70,SL
2024-10-25 12:10 EDT,2024-10-25 12:25 EDT,QQQ,long,498.6600,499.0600,2,0.80,TP
2024-10-28 13:10 EDT,2024-10-28 13:15 EDT,QQQ,long,496.5100,495.7200,2,-1.58,SL
2024-10-30 12:25 EDT,2024-10-30 12:50 EDT,QQQ,long,499.0300,499.5200,2,0.98,TP
2024-11-12 12:35 EST,2024-11-12 12:45 EST,QQQ,long,512.4000,511.8999,1,-0.50,SL
2024-11-14 14:30 EST,2024-11-14 14:30 EST,QQQ,long,510.0900,510.1300,1,0.04,EOD
2024-11-25 11:55 EST,2024-11-25 12:10 EST,QQQ,long,507.3700,506.6700,1,-0.70,SL
2024-11-25 14:00 EST,2024-11-25 14:30 EST,QQQ,long,505.9800,505.9800,1,0.00,TP
2024-11-26 11:55 EST,2024-11-26 12:00 EST,QQQ,long,508.6000,508.7000,1,0.10,TP
2024-11-26 12:30 EST,2024-11-26 12:35 EST,QQQ,long,508.1800,508.5499,1,0.37,TP
2024-11-27 12:20 EST,2024-11-27 13:10 EST,QQQ,long,502.9400,503.8900,1,0.95,TP
2024-12-06 12:50 EST,2024-12-06 12:55 EST,QQQ,long,525.5700,525.7800,1,0.21,TP
2024-12-27 12:35 EST,2024-12-27 12:40 EST,QQQ,long,519.0600,518.3400,1,-0.72,SL
2025-01-07 13:05 EST,2025-01-07 13:30 EST,QQQ,long,517.6100,518.7800,1,1.17,TP
2025-01-07 14:05 EST,2025-01-07 14:30 EST,QQQ,long,517.1900,517.2100,1,0.02,EOD
